provincia_id,provincia,municipio,sede,tipo,direccion,telefono,email
1, Buenos Aires,DAIREAUX (OE),,Oficina de empleo,"CARLOS PELLEGRINI 159, PB(6555)",02923-15465059,oedaireaux@trabajo.gob.ar
1, Buenos Aires,DE LA COSTA (OE),,Oficina de empleo,"AV. COSTANERA 8001, PB(7108)",02314-451096,oedelacosta@trabajo.gob.ar
1, Buenos Aires,ENSENADA (OE),,Oficina de empleo,"MARQUES DE AVILES 620, PB(1925)",0221-425-6161 / (0221) 425-1917,oeensenada@trabajo.gob.ar
1, Buenos Aires,ESCOBAR (OE),,Oficina de empleo,"ABSORNO Y ESTRADA, 1ro (1625)",0221-4831016,oeescobar@trabajo.gob.ar
1, Buenos Aires,ESTEBAN ECHEVERRIA (OE),,Oficina de empleo,"SOFIA T DE SANTA MARINA 455, 4to(1842)",02242-432135,oeecheverria@trabajo.gob.ar
1, Buenos Aires,EXALTACION DE LA CRUZ (OE),,Oficina de empleo,"MORENO 452, PB(2812)",02355-422001 internos 220 - 404,oeexaltaciondlcruz@trabajo.gob.ar
1, Buenos Aires,EZEIZA (OE),,Oficina de empleo,"CANALE 124 - TRISTAN SUAREZ, PB(1806)",02227-431450/56,oeezeiza@trabajo.gob.ar
1, Buenos Aires,FLORENCIO VARELA (OE),,Oficina de empleo,"AVDA. CALCHAQUI Y SARGENTO CABRAL 6200, 1ro (1888)",02324-421370,oevarela@trabajo.gob.ar
1, Buenos Aires,FLORENTINO AMEGHINO (OE),,Oficina de empleo,"9 DE JULIO 668, 1ro (6064)",02271 406600 interno 123,oeameghino@trabajo.gob.ar
1, Buenos Aires,GENERAL ALVARADO (OE),,Oficina de empleo,"CALLE 28 1135, PB(7607)",02921-483063,oealvarado@trabajo.gob.ar
1, Buenos Aires,GENERAL ALVEAR (UE),,Unidad de empleo,"SARMIENTO E/ ROQUE PEREZ E ISLEÑO, PB(7263)",02227-15462781,uegeneralalvear@trabajo.gob.ar
1, Buenos Aires,GENERAL LAS HERAS (OE),,Oficina de empleo,"RIVADAVIA 220 PB (1741), PB(1741)",02923-499013/498079,pendiente
1, Buenos Aires,GENERAL MANUEL BELGRANO (OE),,Oficina de empleo,"SAN MARTIN Y RIVADAVIA, PB(7223)",02221-480553,oebelgrano@trabajo.gob.ar
1, Buenos Aires,GENERAL PUEYRREDON (OE),,Oficina de empleo,"25 DE MAYO 3949, PB(7600)",02344-453304 / 450520,oemardelplata@trabajo.gob.ar
1, Buenos Aires,GENERAL RODRIGUEZ (OE),,Oficina de empleo,"INT. GARRAHAM 266, PB(1748)",02324-481-359,oegralrodriguez@trabajo.gob.ar
1, Buenos Aires,GENERAL SAN MARTIN (OE),,Oficina de empleo,"RAMON CARRILLO 2163, 1ro (1650)",0291-4941534,oesanmartin@trabajo.gob.ar
1, Buenos Aires,GUAMINI (OE),,Oficina de empleo,"J.M DE ROSAS S/ (ESTAC TERM DE OMNIBUS), PB(6435)",02392-419395 int 19,oeguamini@trabajo.gob.ar
1, Buenos Aires,HIPOLITO YRIGOYEN (OE),,Oficina de empleo,"ITALIA 748, PB(6465)",02394-430293/295 Int.:112,pendiente
1, Buenos Aires,HURLINGHAM (OE),,Oficina de empleo,"TEODORO FELS 190 , PB(1688)",02927-432201 INT 146,oehurlingham@trabajo.gob.ar
1, Buenos Aires,ITUZAINGO (OE),,Oficina de empleo,"BRANDSEN 1142, PB(1714)",4214-4227,oeituzaingo@trabajo.gob.ar
1, Buenos Aires,JOSE C. PAZ (OE),,Oficina de empleo,"ROQUE SAENZ PEÑA 5111, PB(1665)",5227-7711 / 7732,oejosecpaz@trabajo.gob.ar
1, Buenos Aires,JUNIN (OE),,Oficina de empleo,"ARIAS 69, 3ro B(6000)",4246-4952,oejunin@trabajo.gob.ar
1, Buenos Aires,LA MATANZA - SAN JUSTO (OE),,Oficina de empleo,"AV. J. M. DE ROSAS 5091, SAN JUSTO, PB(1754)",4290-8414,oelamatanzasj@trabajo.gob.ar
1, Buenos Aires,LA PLATA (OE),,Oficina de empleo,"CALLE 50 381, PB(1900)",4234-9180,oelaplata@trabajo.gob.ar
1, Buenos Aires,LANUS (OE),,Oficina de empleo,"AV. H. YRIGOYEN 3863, PB(1824)",4357-2446 / 4357-2445,oelanus@trabajo.gob.ar
1, Buenos Aires,LAPRIDA (UE),,Unidad de empleo,"AV. SAN MARTIN 1160, PB(7414)",4243-2233,uelaprida@trabajo.gob.ar
1, Buenos Aires,LAS FLORES (OE),,Oficina de empleo,"H. IRIGOYEN 421, PB(7200)",02224-476169,oelasflores@trabajo.gob.ar
1, Buenos Aires,LEZAMA (UE),,Unidad de empleo,"HIPOLITO YRIGOYEN Nro 251, PB(7116)",4212-7967,uelezama@trabajo.gob.ar
1, Buenos Aires,LINCOLN (OE),,Oficina de empleo,"AV. MASSEY Y 25 DE MAYO, PB(6070)",4212-7958,oelincoln@trabajo.gob.ar
1, Buenos Aires,LOBERIA (OE),,Oficina de empleo,"FRANCISCO DE CASO 180, PB(7635)",02266-421269 / 424007,oeloberia@trabajo.gob.ar
1, Buenos Aires,LOBOS (OE),,Oficina de empleo,"SALGADO 40, PB(7240)",02246-433043,oelobos@trabajo.gob.ar
1, Buenos Aires,LOMAS DE ZAMORA (OE),,Oficina de empleo,"LEANDRO N. ALEM 207, 2do (1832)",02291- 421482,oelomasdezamora@trabajo.gob.ar
1, Buenos Aires,LUJAN (OE),,Oficina de empleo,"BELGRANO 1250, PB(6700)",0223-4743360,oelujan@trabajo.gob.ar
1, Buenos Aires,MALVINAS ARGENTINAS (OE),,Oficina de empleo,"AVENIDA PRESIDENTE PERON 4276, PB(1613)",0223-4642174,oemalvinas@trabajo.gob.ar
1, Buenos Aires,MAR CHIQUITA (OE),,Oficina de empleo,"ACAPULCO 10, PB(7174)",02261-440138,oemarchiquita@trabajo.gob.ar
1, Buenos Aires,MARCOS PAZ (OE),,Oficina de empleo,"SAN MARTIN 310, ESQ. BALCARCE, PB(1727)",0223-4693823,oemarcospaz@trabajo.gob.ar
1, Buenos Aires,MERCEDES (OE),,Oficina de empleo,"CALLE 29 623, PB(6600)",02262 - 435420,oemercedes@trabajo.gob.ar
1, Buenos Aires,MONTE (OE),,Oficina de empleo,"LAURA GIAGNACOVO 636, PB(7220)",02254-491624,oemonte@trabajo.gob.ar
1, Buenos Aires,MONTE HERMOSO (UE),,Unidad de empleo,"AV. ARGENTINA 88 LOCAL 36 SUBSUELO, PB(8153)",02983-439200,uemontehermoso@trabajo.gob.ar
1, Buenos Aires,MORENO (OE),,Oficina de empleo,"BARTOLOME MITRE 1891, PB(1744)",02255-460965�,oemoreno@trabajo.gob.ar
1, Buenos Aires,MORON (OE),,Oficina de empleo,"SAN MARTIN 471, PB(1708)",03489- 438310 / 428386,oemoron@trabajo.gob.ar
1, Buenos Aires,NAVARRO (OE),,Oficina de empleo,"MITRE 346, PB(6605)",0348-4430506,pendiente
1, Buenos Aires,NECOCHEA (OE),,Oficina de empleo,"CALLE 64 2975, LOCAL 9 GALERIA ZULBERTI(3630)",02323 - 491702 / 581025 int 16,oenecochea@trabajo.gob.ar
1, Buenos Aires,OLAVARRIA (OE),,Oficina de empleo,"SARMIENTO 2458, PB(7400)",4830-0582/4512-6251,oeolavarria@trabajo.gob.ar
1, Buenos Aires,PERGAMINO (OE),,Oficina de empleo,"BV. ALSINA 515, PB(2700)",02320-422851,oepergamino@trabajo.gob.ar
1, Buenos Aires,PILAR (OE),,Oficina de empleo,"11 DE SEPTIEMBRE 645, PB(1629)",4660-9000 INT 1466/1467/1468/1469,oepilar@trabajo.gob.ar
1, Buenos Aires,PINAMAR (OE),,Oficina de empleo,"SHAW Y PEJERREY, PB(7167)",0230-4669219,oepinamar@trabajo.gob.ar
1, Buenos Aires,PRESIDENTE PERON (OE),,Oficina de empleo,"CRISOLOGO LARRALDE 241 Guernica, PB(1862)",4580-5734/5,pendiente
1, Buenos Aires,PUAN (OE),,Oficina de empleo,"HIPOLITO YRIGOYEN S/N - V DE ORTUSAR, PB(8180)",4512-3178,oepuan@trabajo.gob.ar
1, Buenos Aires,PUNTA INDIO (UE),,Unidad de empleo,"CALLE 30, PB, E/ 25 Y 27 S/N (CAMARA DE COMERCIO)(1917)",4664-7403,uepuntaindio@trabajo.gob.ar
1, Buenos Aires,QUILMES (OE),,Oficina de empleo,"LEANDRO N. ALEM 207, 2do (1879)",47496141 / 9028,oequilmes@trabajo.gob.ar
1, Buenos Aires,RAMALLO (OE),,Oficina de empleo,"ESPAÑA 1392, PB(2915)",4513-9832 / 9833,oeramallo@trabajo.gob.ar
1, Buenos Aires,RAUCH (UE),,Unidad de empleo,"ARISTOBULO DEL VALLE 40, PB(7203)",03487-435072,uerauch@trabajo.gob.ar
1, Buenos Aires,RIVADAVIA (OE),,Oficina de empleo,"MARCOS CACHAU Y SAN MARTIN, PB(6237)",02478 454822 int 125,oerivadavia@trabajo.gob.ar
1, Buenos Aires,ROJAS (OE),,Oficina de empleo,"PUEBLOS ORIGINARIOS 473, PB(2705)",03329-482900 INT 269 / 03329-15602923,pendiente
1, Buenos Aires,SALADILLO (OE),,Oficina de empleo,"ALEM 3150 CASA DE CAMPO , PB(7260)",03388-471001 INT 116 / 123,oesaladillo@trabajo.gob.ar
1, Buenos Aires,SAN ANDRES DE GILES (OE),,Oficina de empleo,"25 DE MAYO Y SUERO, PB(6720)",02364-631618,oesanadegiles@trabajo.gob.ar
1, Buenos Aires,SAN ANTONIO DE ARECO (OE),,Oficina de empleo,"LAVALLE 363, PB(2760)",02477-408252,pendiente
1, Buenos Aires,SAN FERNANDO (OE),,Oficina de empleo,"CARLOS CASARES 2032, PB(1646)",0340-7422282,oesanfernando@trabajo.gob.ar
1, Buenos Aires,SAN ISIDRO (OE),,Oficina de empleo,"DON BOSCO 411, 1ro (1642)",02337 - 405169,oesanisidro@trabajo.gob.ar
1, Buenos Aires,SAN MIGUEL (OE),,Oficina de empleo,"CONCEJAL TRIBULATO 643, PB(1663)",02475-462002/462007/462015,oesanmiguel@trabajo.gob.ar
1, Buenos Aires,SAN NICOLAS (OE),,Oficina de empleo,"MORTEO ENTRE GARIBALDI Y PELLEGRINI, PB(2900)",02325-444015,oesannicolas@trabajo.gob.ar
1, Buenos Aires,SAN PEDRO (OE),,Oficina de empleo,"AYACUCHO 299- PB. CENTRO CIVICO., PB(2930)",02326-455446,oesanpedro@trabajo.gob.ar
1, Buenos Aires,SAN VICENTE (OE),,Oficina de empleo,"25 DE MAYO 125, PB(1865)",0336-4425611,oesanvicenteba@trabajo.gob.ar
1, Buenos Aires,SUIPACHA (UE),,Unidad de empleo,"SAN MARTIN 325, PB(6612)",03329-439850,uesuipacha@trabajo.gob.ar
1, Buenos Aires,TANDIL (OE),,Oficina de empleo,"GENERAL PAZ 1259, PB(7000)",02983484444 INT 232 Y 245,oetandil@trabajo.gob.ar
1, Buenos Aires,TAPALQUE (UE),,Unidad de empleo,"SAN MARTIN 179, PB(7303)",02296-451622,uetapalque@trabajo.gob.ar
1, Buenos Aires,TIGRE (OE),,Oficina de empleo,"ALMIRANTE BROWN 647, PB(1648)",02281-43-4569,oetigre@trabajo.gob.ar
1, Buenos Aires,TORNQUIST (UE),,Unidad de empleo,"MORENO 1, PB(8160)",02292-451400 int 140,uetornquist@trabajo.gob.ar
1, Buenos Aires,TRENQUE LAUQUEN (OE),,Oficina de empleo,"ORO Y VILLEGAS, PB(6400)",02926-429227/228/306,oetlauquen@trabajo.gob.ar
1, Buenos Aires,TRES ARROYOS (OE),,Oficina de empleo,"RIVADAVIA 1, PB(7500)",02344 - 480117,oetresarroyos@trabajo.gob.ar
1, Buenos Aires,TRES DE FEBRERO (OE),,Oficina de empleo,"ALBERDI 4840, 3ro (1678)",02285-420087,oetresdefebrero@trabajo.gob.ar
1, Buenos Aires,TRES LOMAS (OE),,Oficina de empleo,"RIVADAVIA 149, PB(6409)",02244-444761,oetreslomas@trabajo.gob.ar
1, Buenos Aires,VICENTE LOPEZ (OE),,Oficina de empleo,"AV. MAIPU 2305, PB, (LOCAL 101 Y 102 ESTACION TREN DE LA COSTA)(1636)",02284-428333,oevicentelopez@trabajo.gob.ar
1, Buenos Aires,VILLA GESELL (OE),,Oficina de empleo,"PASEO 110 Y AV. 8, PB(7165)",02297-449045,oevillagesell@trabajo.gob.ar
1, Buenos Aires,VILLARINO (OE),,Oficina de empleo,"MORENO 41, PB(8132)",0249 - 4441288,oevillarino@trabajo.gob.ar
1, Buenos Aires,ZARATE (OE),,Oficina de empleo,"PASEO DE LA RIBERA 2800 (EX BALNEAREO MUNICIPAL), PB(2800)",02283-420117,oezarate@trabajo.gob.ar
3, Catamarca,ANDALGALA (OE),,Oficina de empleo,"CALLE SAN MARTIN S/N, PB(4740)",03835-413191,oeandalgala@trabajo.gob.ar
3, Catamarca,BELEN (OE),,Oficina de empleo,"CALLE. GRAL PAZ Nro 160, PB(4750)",03835-463641,oebelen@trabajo.gob.ar
3, Catamarca,FIAMBALA (OE),,Oficina de empleo,"DIEGO DE ALMAGRO SIN NUMERO - MUNICIPALIDAD, PB(5345)",03837 496016,oefiambala@trabajo.gob.ar
3, Catamarca,ICAÑO (UE),,Unidad de empleo,"LIBERTAD S/N, PB(5265)",03832 480080 / 480011,pendiente
3, Catamarca,LOS ALTOS (OE),,Oficina de empleo,"MARIA AUXILIADORA Y MARTIN MIGUEL DE GUEMES, PB(4723)",0383-154-516297 0383-154-516297,oelosaltos@trabajo.gob.ar
3, Catamarca,POMAN (OE),,Oficina de empleo,"SAN SEBASTIAN ESQ. 15 DE SEPTIEMBRE, LOCAL 06, PB(5315)",03835522813,oepoman@trabajo.gob.ar
3, Catamarca,RECREO (OE),,Oficina de empleo,"SARMIENTO Y EVA PERON, PB(5260)",03832-15520060,oerecreo@trabajo.gob.ar
3, Catamarca,SAN FERNANDO DEL VALLE DE CATARMARCA (OE),,Oficina de empleo,"AV. GÜEMES 650 , PB(4700)",0383-4459626,oesfvcatamarca@trabajo.gob.ar
3, Catamarca,SAN JOSE (OE),,Oficina de empleo,"16 DE AGOSTO ESQUINA MARCOS ROMERO, PB(4139)",03838-423826,oesanjose@trabajo.gob.ar
3, Catamarca,SANTA MARIA (OE),,Oficina de empleo,"SARMIENTO ESQUINA BELGRANO, PB(4139)",03838-421869,oesantamaria@trabajo.gob.ar
3, Catamarca,SANTA ROSA (OE),,Oficina de empleo,"AV. 9 DE JULIO S/N, PB(4723)",03833-485045,oesantarosacat@trabajo.gob.ar
3, Catamarca,SAUJIL (OE),,Oficina de empleo,"JUAN DOMINGO PERON Nro 788, PB(5321)",03835-492083,oesauj@trabajo.gob.ar
3, Catamarca,TINOGASTA (OE),,Oficina de empleo,"ANTONIO DEL PINO 775, PB(5340)",03837-421001,oetinogasta@trabajo.gob.ar
3, Catamarca,VALLE VIEJO (OE),,Oficina de empleo,"AVDA. PRESIDENTEPARADOR MUNICIPAL, PB(4707)",0383- 4443377,oevalleviejo@trabajo.gob.ar
4, Chaco,BARRANQUERAS (OE),,Oficina de empleo,"AV. LAPRIDA Nro 5.601, PB(3503)",03624 - 480973,oebarranqueras@trabajo.gob.ar
4, Chaco,BASAIL (UE),,Unidad de empleo,"LUIS NICOLAS BASAIL S/N, PB(3516)",03624-490056,pendiente
4, Chaco,CAMPO LARGO (UE),,Unidad de empleo,"GUEMES Y MAIPU , PB(3716)",03644-495454,campolargo@trabajo.gob.ar
4, Chaco,COLONIAS UNIDAS (UE),,Unidad de empleo,"AVENIDA SARMIENTO Y COMANDANTE FONTANA, PB(3515)",03725 - 15484138,uecoloniasunidas@trabajo.gob.ar
4, Chaco,CORONEL DU GRATY (UE),,Unidad de empleo,"MARIANO MORENO 332, PB(3541)",03735-498416,uedugraty@trabajo.gob.ar
4, Chaco,CORZUELA (OE),,Oficina de empleo,"SALTA ESQ. PERON, PB(3718)",03731-413611,oecorzuela@trabajo.gob.ar
4, Chaco,FONTANA (OE),,Oficina de empleo,"AV. INTENDENTE AUGUSTO REY 531, PB(3514)",0362-4463700,oefontana@trabajo.gob.ar
4, Chaco,GENERAL PINEDO (OE),,Oficina de empleo,"CALLE 7 ENTRE 6 Y 8, PB(3732)",03731-508929 / 03731-480433,pendiente
4, Chaco,GENERAL SAN MARTIN (OE),,Oficina de empleo,"MORENO 343 , PB(3509)",03725-15407410,oesmartinchaco@trabajo.gob.ar
4, Chaco,GENERAL VEDIA (UE),,Unidad de empleo,"AV. BOULEVARD DE LOS COLONOS S/N , PB(3522)",03624-498834,uegeneralvedia@trabajo.gob.ar
4, Chaco,ISLA DEL CERRITO (UE),,Unidad de empleo,"AV. DE LA HERMANDAD ARGENTINA PARAGUAYA 101, PB(3505)",03264-496281,ueislacerrito@trabajo.gob.ar
4, Chaco,JUAN JOSE CASTELLI (OE),,Oficina de empleo,"SARMIENTO 99, PB(3705)",0364-4471877,oejjcastelli@trabajo.gob.ar
4, Chaco,MACHAGAI (OE),,Oficina de empleo,"CARLOS VECCHIETTI 240, PB(3534)",03734-471099,oemachagai@trabajo.gob.ar
4, Chaco,PAMPA DEL INDIO (OE),,Oficina de empleo,"SAN MARTIN 360, PB(3531)",0362-4280270,oepampadelindio@trabajo.gob.ar
4, Chaco,PAMPA DEL INFIERNO (OE),,Oficina de empleo,"RESISTENCIA 30, PB(3708)",03644-225235,oepdelinfierno@trabajo.gob.ar
4, Chaco,PRESIDENCIA DE LA PLAZA (UE),,Unidad de empleo,"SAN MARTIN 426, PB(3536)",0373-4426154,uedelaplaza@trabajo.gob.ar
4, Chaco,PUERTO TIROL (UE),,Unidad de empleo,"AV. 9 DE JULIO S/N, PB(3505)",0362 - 4492677,uepuertotirol@trabajo.gob.ar
4, Chaco,PUERTO VILELAS (OE),,Oficina de empleo,"MZ 19 PC 05 BARRIO SAN JOSE, PB(3503)",03624- 417509,oepuertovilelas@trabajo.gob.ar
4, Chaco,QUITILIPI (OE),,Oficina de empleo,"AV. CHACO 18, PB(3530)",0364-4311103,oequitilipi@trabajo.gob.ar
4, Chaco,RESISTENCIA (OE),,Oficina de empleo,"LAVALLE 750, PB(3500)",0362-4458212,oeresistencia@trabajo.gob.ar
4, Chaco,SANTA SYLVINA (UE),,Unidad de empleo,"SARMIENTO 418, PB(3541)",03735 494372,pendiente
4, Chaco,TRES ISLETAS (OE),,Oficina de empleo,"PRESIDENTE PERON 375 , PB(3703)",03644-230131,oetresisletas@trabajo.gob.ar
4, Chaco,VILLA ANGELA (OE),,Oficina de empleo,"MAIPU Nro 150, PB(3540)",03735-429096,oevillaangela@trabajo.gob.ar
4, Chaco,VILLA BERTHET (UE),,Unidad de empleo,"PRINGLES Y BELGRANO, PB(3545)",03735-497748,uevillaberthet@trabajo.gob.ar
5, Chubut,CHOLILA (UE),,Unidad de empleo,"MANZANA 57 S/N, PB(9217)",0294-5498040,uecholila@trabajo.gob.ar
5, Chubut,COMODORO RIVADAVIA (OE),,Oficina de empleo,"MAIPU 1420 , PB(9000)",0297 - 4064521,oecomodoro@trabajo.gob.ar
5, Chubut,EL MAITEN (UE),,Unidad de empleo,"AV. SAN MARTIN 1300, PB(9210)",02945-495157 / 495150,ueelmaiten@trabajo.gob.ar
5, Chubut,ESQUEL (OE),,Oficina de empleo,"SAN MARTIN 608, PB(9200)",02945 - 450593,oeesquel@trabajo.gob.ar
5, Chubut,GAIMAN (UE),,Unidad de empleo,"MLAVINAS ARGENTINAS 93, PB(9105)",02804-491137,uegaiman@trabajo.gob.ar
5, Chubut,PUERTO MADRYN (OE),,Oficina de empleo,"BELGRANO 85, PB(9120)",02804-458829,oepuertomadryn@trabajo.gob.ar
5, Chubut,RAWSON (OE),,Oficina de empleo,"BELGRANO 844, PB(9103)",0280-483837,oerawson@trabajo.gob.ar
5, Chubut,TRELEW (OE),,Oficina de empleo,"SAN MARTIN 536, PB(9100)",0280-4435890,oetrelew@trabajo.gob.ar
5, Chubut,TREVELIN (UE),,Unidad de empleo,"SAN MARTIN 339, PB(9203)",02945 480145 / 129,uetrevelin@trabajo.gob.ar
6, Ciudad De Buenos Aires,CIUDAD DE BUENOS AIRES MTEYSS (OE),,Oficina de empleo,"HUMBERTO 1ro 2252/2260 , PB(1001)",4941-6464,oecaba@trabajo.gob.ar
7, Córdoba,ALEJANDRO ROCA (OE),,Oficina de empleo,"VELEZ SARSFIELD S/N, PB(2686)",03547- 428134,oealejandroroca@trabajo.gob.ar
7, Córdoba,ALTA GRACIA (OE),,Oficina de empleo,"BRASIL 331, PB(5186)",03547- 494052,oealtagracia@trabajo.gob.ar
7, Córdoba,ANISACATE (UE),,Unidad de empleo,"SALOMON PALACIOS 15, PB(5189)",03563-421131,ueanisacate@trabajo.gob.ar
7, Córdoba,BALNEARIA (UE),,Unidad de empleo,"BV. BELGRANO 272, PB(5141)",03534-410427/8,uebalnearia@trabajo.gob.ar
7, Córdoba,BELL VILLE (OE),,Oficina de empleo,"25 DE MAYO 19 , PB(2550)",03562- 400784,oebellville@trabajo.gob.ar
7, Córdoba,BELLA VISTA (OE),,Oficina de empleo,"CORRIENTES 1175, PB(3432)",03573 - 497335,oebellavista@trabajo.gob.ar
7, Córdoba,BERROTARAN (UE),,Unidad de empleo,"25 DE MAYO Y ESQUIU. BARRIO 25 DE MAYO, PB(5817)",03548-489604,ueberrotaran@trabajo.gob.ar
7, Córdoba,BRINKMANN (UE),,Unidad de empleo,"CORDOBA 313 ESQUINA RIVADAVIA, PB(2419)",0353-4894033/99,uebrinkmann@trabajo.gob.ar
7, Córdoba,CALCHIN (UE),,Unidad de empleo,"GRAL PAZ 308, PB(5969)",0351-4341602,pendiente
7, Córdoba,CAPILLA DEL MONTE (UE),,Unidad de empleo,"PUEYRREDON 300 ESQ. DIAG. BUENOS AIRES, PB(5184)",0351-4285600 int 8373,uecdelmonte@trabajo.gob.ar
7, Córdoba,CARRILOBO (UE),,Unidad de empleo,"SAN MARTIN 387, PB(5915)",0351-4285600 int 8233,uecarrilobo@trabajo.gob.ar
7, Córdoba,CORDOBA (25 DE MAYO) (OE),,Oficina de empleo,"25 DE MAYO 469, PB(5000)",0351-4285600 int 8680,oecordoba@trabajo.gob.ar
7, Córdoba,CORONEL MOLDES (OE),,Oficina de empleo,"URUGUAY 256, PB(5847)",0351- 4904333 int 15,oecoronelmoldes@trabajo.gob.ar
7, Córdoba,CORRAL DE BUSTOS (OE),,Oficina de empleo,"ENTRE RIOS 1032, PB(2645)",0353-4846993,oecorraldebustos@trabajo.gob.ar
7, Córdoba,CRUZ DEL EJE (OE),,Oficina de empleo,"FELIX CACERES Y TOMAS EDISON, PB(5280)",03525-442300,oecruzdeleje@trabajo.gob.ar
7, Córdoba,DEAN FUNES (OE),,Oficina de empleo,"SAENZ PEÑA 497, PB(5200)",03543-469696,oedeanfunes@trabajo.gob.ar
7, Córdoba,ESTACION JUAREZ CELMAN (OE),,Oficina de empleo,"LOS GIRASOLES S/N - DPTO COLON - CORDOBA, PB(5145)",03544-496198,oejuarezcelman@trabajo.gob.ar
7, Córdoba,GENERAL DEHEZA (OE),,Oficina de empleo,"INT. JOSE FROUTE 48, PB(5923)",03533-423185,oegeneraldeheza@trabajo.gob.ar
7, Córdoba,HERNANDO (OE),,Oficina de empleo,"12 DE OCTUBRE 210/220, PB(5929)",03472-487008,oehernando@trabajo.gob.ar
7, Córdoba,HUANCHILLAS (UE),,Unidad de empleo,"ESTEBAN PIACENZA S/N( ENTRE CALLE JULIO A. ROCA Y 9 DE JULIO), PB(6121)",03472-444891,uehuanchilla@trabajo.gob.ar
7, Córdoba,JESUS MARIA (OE),,Oficina de empleo,"TUCUMAN 275, PB(5220)",03562-402399,oejesusmaria@trabajo.gob.ar
7, Córdoba,LA CALERA (OE),,Oficina de empleo,"RIVADAVIA 211 - BARRIO CENTRO, PB(5151)",03572 - 470404 / 470112,oelacalera@trabajo.gob.ar
7, Córdoba,LA PAZ (UE),,Unidad de empleo,"VELEZ SARFIELD S/N, PB(5117)",03543-358051,pendiente
