provincia,zona,direccion,cp 1,ciudad,telefono,email,comentarios
NEUQUEN,Neuquén,Córdoba 67 piso 1º,8300,,(0299) 4488956 / 4482928 / 4431521/6766 Interno: 7017/18,gneuquen@trabajo.gob.ar,Horario: 8.00 a 16.00
RIO NEGRO,Viedma,25 de Mayo N° 726 piso 1°,8500,,(02920) 427522/789 Interno: 7001/02,grionegr@trabajo.gob.ar,Horario: 8.00 a 13.00
RIO NEGRO,Bariloche,Mitre 630,,,(0294) 443-2045/1736,,
SALTA,Salta,Alvarado 199,4400,,(0387) 4315956 Interno: 106 Fax (0387) 4318040,gsalta@trabajo.gob.ar,Horario: 7.00 a 17.30
SAN JUAN,San Juan,Mitre 127 - Este,5400,,(0264) 4223790/5350 / 4272146/5557 Interno: 7027/28,gsanjuan@trabajo.gob.ar,Horario: 7.30 a 18.30
SAN LUIS,San Luis,Falucho 830,5700,,(0266) 443-9557/1339 / 444-0497 Interno: 7020,gsanluis@trabajo.gob.ar,Horario: 8.00 a 18.00
SANTA CRUZ,Río Gallegos,Urquiza 45,9400,,(02966) 438162 Interno: 7006,gsantacr@trabajo.gob.ar,Horario: 9.00 a 16.00
SANTA FE,Santa Fe,San Martín 2533 (Edificio ANSES),3000,,(0342) 4810937 / 4565037 Interno: 7055/56 Fax (0342) 4550104,gsantafe@trabajo.gob.ar,Horario: 8.00 a 17.00
SANTA FE,Rosario,Mitre 2107,2000,,(0341) 423-7803/04/05/06 Interno: 7059/60/61,grosario@trabajo.gob.ar,Horario: 9.00 a 13.30
SANTIAGO DEL ESTERO,Santiago del Estero,Independencia 56 4º,4200,,(0385) 4224200/0347 /4390 Interno: 7075/77,gsantiago@trabajo.gob.ar,
TIERRA DEL FUEGO,Río Grande,9 de Julio 764/766,9420,,(02964) 430087 / 430044 / 430129 / 422079 Interno: 7015/16,gtierrad@trabajo.gob.ar,Horario: 9.00 a 16.00
TUCUMAN,San Miguel de Tucumán,Crisóstomo Alvarez 548/554 PB,4000,,(0381) 4305589/5538 Interno: 70742/74 Fax (0381) 4210135,gtucuman@trabajo.gob.ar,Horario: 7.00 a 17.00
