zona,puesto,responsable,dirección,cp,ciudad,provincia,telefono,email
SANTA FE,Delegado Regional,Oscar A. Bianchini,San Martín 2533 piso 1º,3000, Santa Fe,Santa Fe,(0342) 4528046 / (0342) 4537929,drsantafe@trabajo.gob.ar
ROSARIO,Delegado Regional,Rubén Ferreyra,Rioja 1120 piso 4º,2000, Rosario,Santa Fe,(0341) 4402172 / (0341) 4402176/49,drrosario@trabajo.gob.ar
CORDOBA,Delegado Regional,Agustín Heredia,27 de Abril 351,5000, Córdoba,Córdoba,(0351) 4237566 / (0351) 4220049,drcordoba@trabajo.gob.ar
PARANA,Delegado Regional,Diego Sebastián Carnaval,España 321 piso 1º,3100, Paraná,Entre Ríos,(0343) 4422704/4221703 / (0343) 4218794,drparana@trabajo.gob.ar
CONCORDIA,Delegado Regional,Guillermo Satalía Mendez,Hipólito Yrigoyen 487 piso 2º,3200, Concordia,Entre Ríos,(0345) 4217047/3071,drconcordia@trabajo.gob.ar
NEA,Director Regional,Marcelo Servello,Santa Fe 867,3400, Corrientes,Corrientes,(0379) 468548,
RESISTENCIA,Delegado Regional,Alcides Godano,Arturo Illia 564,H3500AVL, Resistencia,Chaco,(062) 442-5160/6499 / (0362) 426499,drchaco@trabajo.gob.ar
CORRIENTES,Delegado Regional,Justo José Zapponi,Santa Fe 867,3400, Corrientes,Corrientes,(0379) 4422032 / (0379) 4422009,drcorrientes@trabajo.gob.ar
POSADAS,Delegado Regional,Alicia Cabral,3 de Febrero 1940 piso 1º,3300, Posadas,Misiones,(0376) 4425093 / 4434195/7675,drmisiones@trabajo.gob.ar
FORMOSA,Delegado Regional,Silvia Carolina Blazek,Av. 9 de Julio 608,3600, Formosa,Formosa,(03704) 424585 / 430359,drformosa@trabajo.gob.ar
NOA,Director Regional,José Hugo Ceriani,Gral Güemes 431/5,4400, Salta,Salta,(0387) 4311640 / 4314327 / 7113,
JUJUY,Delegado Regional,Carlos Guarini,Otero 82,4600, San Salvador de Jujuy,Jujuy,(0388) 4237808 / (0388)4237903,drjujuy@trabajo.gob.ar
SALTA,Delegado Regional,Javier Cáceres Moreno,Gral. Güemes 431/5,4400, Salta,Salta,(0387) 4313428/771 / 4314327,drsalta@trabajo.gob.ar
TUCUMAN,Delegado Regional,María José Rubiol,San Martín 1012,4000, San Miguel de Tucumán,Tucumán,(0381) 4221835 (0381) 4229603,drtucuman@trabajo.gob.ar
SANTIAGO DEL ESTERO,Delegado Regional,Alejandro Ducca Kozameh,Independencia 56 piso 4º,4200, Santiago del Estero,Santiago del Estero,(0385) 4211252 / 4222736,dsantiagodelestero@trabajo.gob.ar
CATAMARCA,Delegado Regional,Sebastián Eduardo Fernandez,Salta 499,4700, San Fernando del Valle de Catamarca,Catamarca,(0383) 4458946 / 458952,dcatamarca@trabajo.gob.ar
